name,description,MRP,totalStock,discountedPrice,defaultColor,isItemDetail,categoryName,subCategoryName,itemImageId,metaTitle,metaDescription,searchKeywords,filters,userAverageRating
"Classic Cotton T-Shirt","Premium cotton t-shirt for men",1200,150,999,"White",true,"Men's Clothing","T-Shirts","classic_cotton_tshirt_001","Classic Cotton T-Shirt - Premium Men's Wear","High-quality cotton t-shirt perfect for everyday casual wear","t-shirt,cotton,men,casual,premium","Material:Cotton|Brand:FashionBrand",4.5
"Formal Business Shirt","Professional formal shirt for office wear",2500,80,1999,"Blue",true,"Men's Clothing","Shirts","formal_business_shirt_001","Formal Business Shirt - Professional Office Wear","Elegant formal shirt perfect for business meetings and office wear","shirt,formal,business,office,professional","Material:Cotton|Style:Formal",4.7
"Slim Fit Jeans","Modern slim fit denim jeans",3000,60,2499,"Blue",true,"Men's Clothing","Jeans","slim_fit_jeans_001","Slim Fit Jeans - Modern Denim Wear","Stylish slim fit jeans perfect for casual and semi-formal occasions","jeans,slim fit,denim,casual,modern","Material:Denim|Fit:Slim",4.3
"Elegant Evening Dress","Beautiful evening dress for special occasions",4500,40,3599,"Black",true,"Women's Clothing","Dresses","elegant_evening_dress_001","Elegant Evening Dress - Special Occasion Wear","Stunning evening dress perfect for parties, dinners, and special events","dress,evening,elegant,party,special occasion","Style:Evening|Occasion:Party",4.8
"Casual Summer Top","Light and comfortable summer top",1800,100,1299,"Pink",true,"Women's Clothing","Tops","casual_summer_top_001","Casual Summer Top - Light and Comfortable","Perfect summer top for casual outings and everyday wear","top,summer,casual,light,comfortable","Season:Summer|Style:Casual",4.4
"A-Line Skirt","Classic A-line skirt for women",2200,50,1799,"Navy",true,"Women's Clothing","Skirts","aline_skirt_001","A-Line Skirt - Classic Women's Wear","Timeless A-line skirt perfect for office and casual wear","skirt,a-line,classic,office,women","Style:A-Line|Length:Knee Length",4.6
"Kids Cartoon T-Shirt","Fun cartoon printed t-shirt for kids",800,120,599,"Yellow",true,"Kids' Clothing","Kids T-Shirts","kids_cartoon_tshirt_001","Kids Cartoon T-Shirt - Fun and Colorful","Adorable cartoon printed t-shirt that kids will love","kids,t-shirt,cartoon,fun,colorful","Age Group:Kids|Design:Cartoon",4.2
"Princess Dress for Girls","Beautiful princess dress for little girls",1500,30,1199,"Pink",true,"Kids' Clothing","Kids Dresses","princess_dress_girls_001","Princess Dress - Magical Girls Wear","Enchanting princess dress perfect for parties and special occasions","princess,dress,girls,party,magical","Style:Princess|Age Group:Girls",4.9
"Limited Edition Hoodie","Premium limited edition hoodie",3500,15,2799,"Black",true,"Men's Clothing","T-Shirts","limited_edition_hoodie_001","Limited Edition Hoodie - Premium Streetwear","Exclusive limited edition hoodie with premium fleece material","hoodie,limited edition,premium,streetwear,fleece","Material:Fleece|Edition:Limited",4.7
 
